pixel_x,pixel_y,square_x,square_y
1078.3906988964793,712.647961864725,14.0,3.0
1349.6866476490754,1076.4719990991666,15.0,0.0
1300.2784450616823,935.4340389860622,15.0,1.0
1241.8869329129445,806.9727122588395,15.0,2.0
1185.2920826764757,701.8679903911119,15.0,3.0
1137.6805420013513,624.6115281635514,15.0,4.0
1096.357318019168,567.1183469709482,15.0,5.0
1064.0174035983287,522.201799164227,15.0,6.0
1441.3164051747867,1020.7754798188325,16.0,0.0
1388.3148787628556,900.3991316968196,16.0,1.0
1331.720028526387,791.7010860045543,16.0,2.0
1269.7351925531116,700.9696594349774,16.0,3.0
1216.7336661411807,628.2048519880891,16.0,4.0
1171.8171183344593,568.0166779270827,16.0,5.0
1133.1888872206791,524.8967920326303,16.0,6.0
1099.9506418437054,486.2685609188501,16.0,7.0
1502.4029101919277,972.2656081875735,17.0,0.0
1453.8930385606686,868.9575482321147,17.0,1.0
1393.7048644996623,775.5311287941347,17.0,2.0
1337.1100142631935,691.9863498736332,17.0,3.0
1283.210156895128,625.5098591196859,17.0,4.0
1235.5986162200036,569.8133398393516,17.0,5.0
1194.2753922378201,527.5917849010336,17.0,6.0
1550.0144508670521,932.739046117659,18.0,0.0
1501.5045792357932,842.9059505042164,18.0,1.0
1446.7063909115932,760.2595025398494,18.0,2.0
1391.009871631259,685.6980331806923,18.0,3.0
1340.7033380877313,625.5098591196859,18.0,4.0
1293.0917974126069,573.4066636638893,18.0,5.0
1253.5652353426922,531.1851087255714,18.0,6.0
1583.2526962440259,898.6024697845507,19.0,0.0
1538.3361484373047,818.6510146885871,19.0,1.0
1488.0296148937769,744.9878762855642,19.0,2.0
1435.0280884818458,679.4097164877513,19.0,3.0
1385.6198858944526,622.8148662512825,19.0,4.0
1340.7033380877313,576.1016565322925,19.0,5.0
1297.5834521932788,536.5750944623778,19.0,6.0
1608.4059630157897,871.6525411005181,20.0,0.0
1567.9810699897407,802.4810574781674,20.0,1.0
1521.2678602707506,734.2079048119512,20.0,2.0
1470.961326727223,674.9180617070791,20.0,3.0
1425.1464479643673,621.9165352951482,20.0,4.0
1380.229900157646,575.2033255761581,20.0,5.0
1340.7033380877313,541.0667492430499,20.0,6.0
1592.23600580537,782.7177764432101,21.0,1.0
1546.4211270425144,725.224595250607,21.0,2.0
1504.1995721041965,668.6297450141382,21.0,3.0
1458.3846933413408,620.1198733828793,21.0,4.0
1417.0614693591574,577.8983184445614,21.0,5.0
1376.6365763331082,543.7617421114533,21.0,6.0
1610.2026249280586,768.3444811450593,22.0,1.0
1569.7777319020095,714.4446237769938,22.0,2.0
1527.5561769636915,665.0364211896004,22.0,3.0
1485.3346220253736,620.1198733828793,22.0,4.0
1445.808059955459,577.8983184445614,22.0,5.0
1409.874821710082,549.1517278482597,22.0,6.0
1623.677589270075,758.4628406275806,23.0,1.0
1587.744351024698,708.1563070840529,23.0,2.0
1547.3194579986489,661.4430973650628,23.0,3.0
1509.5895578410032,620.1198733828793,23.0,4.0
1470.0629957710885,580.5933113129646,23.0,5.0
1434.1297575257113,549.1517278482597,23.0,6.0
1602.1176463228487,702.7663213472463,24.0,2.0
1567.0827390336062,661.4430973650628,24.0,3.0
1525.7595150514228,619.2215424267449,24.0,4.0
1493.4196006305833,583.288304181368,24.0,5.0
1458.3846933413408,551.8467207166631,24.0,6.0
154.05443548387098,560.2262701612904,0.0,6.0
183.93951612903226,531.816995967742,0.0,7.0
216.77620967741933,506.3593346774194,0.0,8.0
247.7681451612903,481.270625,0.0,9.0
276.9153225806451,462.0851411290323,0.0,10.0
302.741935483871,442.53070564516133,0.0,11.0
321.18951612903226,426.2968346774194,0.0,12.0
176.56048387096774,558.012560483871,1.0,6.0
210.13508064516128,527.3895766129033,1.0,7.0
241.8649193548387,500.4561088709678,1.0,8.0
273.9637096774194,476.84320564516133,1.0,9.0
301.6350806451613,456.9198185483871,1.0,10.0
329.30645161290323,437.7343346774194,1.0,11.0
353.28830645161287,421.13151209677426,1.0,12.0
203.4939516129032,556.1678024193549,2.0,6.0
238.17540322580643,523.3311088709678,2.0,7.0
272.48790322580646,495.65973790322585,2.0,8.0
303.1108870967742,471.67788306451615,2.0,9.0
333.3649193548387,451.0165927419355,2.0,10.0
359.1915322580645,433.3069153225807,2.0,11.0
383.1733870967742,416.3351411290323,2.0,12.0
234.48588709677418,553.216189516129,3.0,6.0
270.2741935483871,519.2726411290323,3.0,7.0
305.32459677419354,491.2323185483871,3.0,8.0
336.68548387096774,466.88151209677426,3.0,9.0
364.72580645161287,446.958125,3.0,10.0
392.3971774193548,427.03473790322585,3.0,11.0
413.79637096774195,410.06296370967743,3.0,12.0
270.2741935483871,545.8371572580645,4.0,6.0
306.80040322580646,514.8452217741935,4.0,7.0
341.11290322580646,484.9601411290323,4.0,8.0
373.5806451612903,460.9782862903226,4.0,9.0
401.6209677419355,441.0548991935484,4.0,10.0
427.8165322580645,422.6073185483871,4.0,11.0
448.10887096774195,406.7423991935484,4.0,12.0
314.5483870967742,540.6718346774194,5.0,6.0
348.491935483871,507.09723790322585,5.0,7.0
383.1733870967742,477.95006048387097,5.0,8.0
414.53427419354836,454.3371572580645,5.0,9.0
440.72983870967744,434.0448185483871,5.0,10.0
465.81854838709677,415.59723790322585,5.0,11.0
484.6350806451613,399.3633669354839,5.0,12.0
359.56048387096774,538.8270766129033,6.0,6.0
395.71774193548384,501.93191532258066,6.0,7.0
429.29233870967744,472.0468346774194,6.0,8.0
457.33266129032256,447.69602822580646,6.0,9.0
483.15927419354836,427.03473790322585,6.0,10.0
505.29637096774195,411.9077217741936,6.0,11.0
525.5887096774193,396.04280241935487,6.0,12.0
414.9032258064516,532.5548991935484,7.0,6.0
448.84677419354836,496.7665927419355,7.0,7.0
480.20766129032256,466.51256048387097,7.0,8.0
507.5100806451613,441.79280241935487,7.0,9.0
530.3850806451612,421.13151209677426,7.0,10.0
551.4153225806451,404.15973790322585,7.0,11.0
566.5423387096773,391.2464314516129,7.0,12.0
474.6733870967742,528.8653830645162,8.0,6.0
504.5584677419355,492.708125,8.0,7.0
532.9677419354839,462.0851411290323,8.0,8.0
556.2116935483871,437.36538306451615,8.0,9.0
575.766129032258,414.8593346774194,8.0,10.0
587.203629032258,401.5770766129033,8.0,11.0
597.9032258064517,388.2948185483871,8.0,12.0
544.0362903225806,526.6516733870968,9.0,6.0
570.6008064516129,489.38756048387097,9.0,7.0
594.2137096774193,458.7645766129033,9.0,8.0
613.0302419354839,432.93796370967743,9.0,9.0
627.7883064516129,413.75247983870975,9.0,10.0
642.9153225806451,394.9359475806452,9.0,11.0
654.7217741935483,378.7020766129033,9.0,12.0
624.8366935483871,521.1173991935484,10.0,6.0
645.1290322580644,486.8048991935484,10.0,7.0
660.2560483870968,456.18191532258066,10.0,8.0
675.383064516129,430.7242540322581,10.0,9.0
514.8891129032259,568.3432056451613,9.0,5.0
604.1754032258063,566.8673991935484,10.0,5.0
441.50940860215053,572.2932190860215,8.0,5.0
473.81048387096774,528.8886491935484,8.0,6.0
506.11155913978496,491.5405309139785,8.0,7.0
532.8608870967741,461.76297715053767,8.0,8.0
556.0772849462365,436.5277620967742,8.0,9.0
574.7513440860215,414.82547715053767,8.0,10.0
590.3971774193549,398.17023521505376,8.0,11.0
600.4912634408602,385.0479233870968,8.0,12.0
513.682123655914,569.2649932795699,9.0,5.0
545.4784946236559,525.3557190860215,9.0,6.0
571.2184139784947,488.5123051075269,9.0,7.0
593.9301075268818,459.2394556451613,9.0,8.0
613.6135752688172,434.0042405913979,9.0,9.0
629.7641129032259,411.797251344086,9.0,10.0
643.391129032258,394.13260080645165,9.0,11.0
654.9993279569893,378.99147177419354,9.0,12.0
604.0241935483871,566.7414717741935,10.0,5.0
624.7170698924731,521.8227889784946,10.0,6.0
644.4005376344087,488.0076008064516,10.0,7.0
660.5510752688172,456.2112298387097,10.0,8.0
675.6922043010753,430.97601478494624,10.0,9.0
685.7862903225807,412.3019556451613,10.0,10.0
695.3756720430108,394.13260080645165,10.0,11.0
702.9462365591398,380.0008803763441,10.0,12.0
700.9274193548388,564.2179502688172,11.0,5.0
711.5262096774194,519.2992674731183,11.0,6.0
722.125,483.4652620967742,11.0,7.0
730.7049731182797,453.6877083333333,11.0,8.0
738.7802419354839,429.9666061827957,11.0,9.0
743.8272849462367,410.7878427419355,11.0,10.0
748.8743279569893,392.6184879032258,11.0,11.0
752.9119623655914,378.4867674731183,11.0,12.0
805.4012096774194,563.713245967742,12.0,5.0
803.8870967741937,517.7851545698925,12.0,6.0
802.877688172043,481.4464448924731,12.0,7.0
803.3823924731183,451.164186827957,12.0,8.0
803.3823924731183,428.4524932795699,12.0,9.0
803.3823924731183,409.2737298387097,12.0,10.0
803.8870967741937,391.60907930107527,12.0,11.0
803.8870967741937,377.47735887096775,12.0,12.0
908.3608870967743,561.6944287634409,13.0,5.0
894.733870967742,519.8039717741935,13.0,6.0
884.1350806451613,482.4558534946236,13.0,7.0
874.0409946236559,452.1735954301075,13.0,8.0
867.9845430107528,427.4430846774194,13.0,9.0
863.4422043010753,409.77843413978496,13.0,10.0
858.3951612903227,392.11378360215053,13.0,11.0
853.8528225806452,378.99147177419354,13.0,12.0
1006.7782258064517,565.2273588709677,14.0,5.0
981.5430107526882,519.8039717741935,14.0,6.0
962.8689516129033,484.47467069892474,14.0,7.0
945.7090053763442,454.19241263440864,14.0,8.0
932.0819892473119,431.9854233870968,14.0,9.0
919.9690860215054,410.2831384408602,14.0,10.0
910.8844086021506,394.6373051075269,14.0,11.0
904.3232526881721,381.01028897849466,14.0,12.0
1096.1108870967741,566.7414717741935,15.0,5.0
1063.3051075268818,521.8227889784946,15.0,6.0
1036.0510752688174,485.48407930107527,15.0,7.0
1012.3299731182797,457.2206384408602,15.0,8.0
994.1606182795699,432.9948319892473,15.0,9.0
978.0100806451613,412.80665994623655,15.0,10.0
963.3736559139786,396.1514180107527,15.0,11.0
953.2795698924732,382.52440188172045,15.0,12.0
1172.3212365591398,571.283810483871,16.0,5.0
1138.0013440860216,526.8698319892474,16.0,6.0
1104.6908602150538,488.5123051075269,16.0,7.0
1074.4086021505377,460.2488642473118,16.0,8.0
1051.6969086021506,437.0324663978495,16.0,9.0
1030.4993279569894,415.8348857526882,16.0,10.0
1013.8440860215054,398.67493951612903,16.0,11.0
999.2076612903227,386.5620362903226,16.0,12.0
1190.9952956989248,526.8698319892474,17.0,6.0
1159.703629032258,493.55934811827956,17.0,7.0
1127.402553763441,464.286498655914,17.0,8.0
1100.6532258064517,441.07010080645165,17.0,9.0
1077.9415322580646,419.8725201612903,17.0,10.0
1059.7721774193549,402.7125739247312,17.0,11.0
1042.6122311827958,389.08555779569895,17.0,12.0
1177.3682795698926,468.32413306451616,18.0,8.0
1149.1048387096776,444.09832661290324,18.0,9.0
1123.869623655914,424.919563172043,18.0,10.0
1102.6720430107528,406.7502083333334,18.0,11.0
1084.5026881720432,392.6184879032258,18.0,12.0
1189.4811827956992,447.63125672043014,19.0,9.0
1166.2647849462367,429.46190188172045,19.0,10.0
1144.0577956989248,411.29254704301076,19.0,11.0
1124.3743279569894,398.17023521505376,19.0,12.0
1181.91061827957,415.8348857526882,20.0,11.0
1160.2083333333335,400.69375672043014,20.0,12.0
1007.1263440860215,564.8302956989248,14.0,5.0
980.1559139784946,519.7657795698925,14.0,6.0
1093.5,564.8302956989248,15.0,5.0
1062.4327956989248,521.131370967742,15.0,6.0
1035.1209677419354,485.2845967741936,15.0,7.0
1012.5887096774194,456.94857526881725,15.0,8.0
993.1290322580645,432.36793010752694,15.0,9.0
977.4247311827957,412.2254569892474,15.0,10.0
967.1827956989247,397.886747311828,15.0,11.0
1140.6129032258063,526.9351344086022,16.0,6.0
1103.4005376344085,488.3571774193549,16.0,7.0
1074.3817204301076,460.3625537634409,16.0,8.0
1051.1666666666667,436.12330645161296,16.0,9.0
1030.3413978494623,415.9808333333334,16.0,10.0
1011.5645161290322,398.56954301075274,16.0,11.0
999.2741935483871,385.93782258064516,16.0,12.0
1192.8467741935483,528.3007258064516,17.0,6.0
1158.024193548387,492.7953494623656,17.0,7.0
1126.9569892473119,465.142123655914,17.0,8.0
1100.6693548387098,441.24427419354845,17.0,9.0
1077.4543010752689,420.4190053763441,17.0,10.0
1057.3118279569892,402.6663172043011,17.0,11.0
1040.5833333333333,389.0104032258065,17.0,12.0
